Cow ID,Age,Temp,Time Block,DATE,START,END,DURATION,Eating,Standing,Rumin,Lying,L/S Transit,Estrus Status,Mounted/Hr,Mounting/Hr
1107,11,86.5,4,6/4/22,6/4/2022 19:36:33,6/4/2022 19:38:03,0:01:31,0,1,0,0,0,0,0,0
1107,11,86.5,4,6/4/22,6/4/2022 19:38:04,6/4/2022 19:59:59,0:21:56,1,1,0,0,0,0,0,0
1107,11,83,4,6/4/22,6/4/2022 20:00:00,6/4/2022 20:06:11,0:06:12,1,1,0,0,0,0,0,0
1107,11,83,4,6/4/22,6/4/2022 20:06:12,6/4/2022 20:24:43,0:18:32,0,1,0,0,0,0,0,0
1107,11,83,4,6/4/22,6/4/2022 20:24:44,6/4/2022 20:43:40,0:18:57,1,1,0,0,0,0,0,0
1107,11,83,4,6/4/22,6/4/2022 20:43:41,6/4/2022 20:46:48,0:03:08,0,1,0,0,0,0,0,0
1107,11,83,4,6/4/22,6/4/2022 20:46:49,6/4/2022 20:59:59,0:13:11,1,1,0,0,0,0,0,0
1107,11,77,4,6/4/22,6/4/2022 21:00:00,6/4/2022 21:59:59,1:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1107,11,75,4,6/4/22,6/4/2022 22:00:00,6/4/2022 22:59:59,1:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1107,11,73,4,6/4/22,6/4/2022 23:00:00,6/4/2022 23:59:59,1:00:00,NA,NA,NA,NA,NA,NA,NA,NA
1107,11,70.5,1,6/5/22,6/5/2022 0:00:00,6/5/2022 0:24:26,0:24:27,0,1,0,0,0,0,0,0
1107,11,70.5,1,6/5/22,6/5/2022 0:24:27,6/5/2022 0:24:32,0:00:06,0,0,0,0,1,0,0,0
1107,11,70.5,1,6/5/22,6/5/2022 0:24:33,6/5/2022 0:24:48,0:00:16,0,0,0,1,0,0,0,0
1107,11,70.5,1,6/5/22,6/5/2022 0:24:49,6/5/2022 0:59:59,0:35:11,0,0,1,1,0,0,0,0
1107,11,68,1,6/5/22,6/5/2022 1:00:00,6/5/2022 1:33:14,0:33:15,0,0,1,1,0,0,0,0
1107,11,68,1,6/5/22,6/5/2022 1:33:15,6/5/2022 1:47:04,0:13:50,0,0,0,1,0,0,0,0
1107,11,68,1,6/5/22,6/5/2022 1:47:05,6/5/2022 1:59:59,0:12:55,0,0,0,1,0,0,0,0
1107,11,66.5,1,6/5/22,6/5/2022 2:00:00,6/5/2022 2:03:15,0:03:16,0,0,0,1,0,0,0,0
1107,11,66.5,1,6/5/22,6/5/2022 2:03:16,6/5/2022 2:44:13,0:40:58,0,0,1,1,0,0,0,0
1107,11,66.5,1,6/5/22,6/5/2022 2:44:14,6/5/2022 2:59:59,0:15:46,0,0,0,1,0,0,0,0
1107,11,65.5,1,6/5/22,6/5/2022 3:00:00,6/5/2022 3:18:03,0:18:04,0,0,0,1,0,0,0,0
1107,11,65.5,1,6/5/22,6/5/2022 3:18:04,6/5/2022 3:34:00,0:15:57,0,0,1,1,0,0,0,0
1107,11,65.5,1,6/5/22,6/5/2022 3:34:01,6/5/2022 3:34:07,0:00:07,0,0,0,0,1,0,0,0
1107,11,65.5,1,6/5/22,6/5/2022 3:34:08,6/5/2022 3:43:31,0:09:24,0,1,1,0,0,0,0,0
1107,11,65.5,1,6/5/22,6/5/2022 3:43:32,6/5/2022 3:43:38,0:00:07,0,0,0,0,1,0,0,0
1107,11,65.5,1,6/5/22,6/5/2022 3:43:39,6/5/2022 3:59:59,0:16:21,0,0,1,1,0,0,0,0
1107,11,64.5,1,6/5/22,6/5/2022 4:00:00,6/5/2022 4:07:02,0:07:03,0,0,1,1,0,0,0,0
1107,11,64.5,1,6/5/22,6/5/2022 4:07:03,6/5/2022 4:32:23,0:25:21,0,0,0,1,0,0,0,0
1107,11,64.5,1,6/5/22,6/5/2022 4:32:24,6/5/2022 4:57:59,0:25:36,0,0,1,1,0,0,0,0
1107,11,64.5,1,6/5/22,6/5/2022 4:58:00,6/5/2022 4:59:59,0:02:00,0,0,0,1,0,0,0,0
1107,11,65,1,6/5/22,6/5/2022 5:00:00,6/5/2022 5:33:57,0:33:58,0,0,0,1,0,0,0,0
1107,11,65,1,6/5/22,6/5/2022 5:33:58,6/5/2022 5:35:20,0:01:23,0,0,1,1,0,0,0,0
1107,11,65,1,6/5/22,6/5/2022 5:35:21,6/5/2022 5:35:26,0:00:06,0,0,0,0,1,0,0,0
